cep,latitude,longitude
45655650,-14.8403975,-39.0257076
45655700,-14.8364846,-39.02892
45655712,-14.8438677,-39.0268635
45655714,-14.8435341,-39.0270264
45655716,-14.8432332,-39.0270264
45655718,-14.8417744,-39.026049
45655720,-14.8416566,-39.0258861
45655726,-14.83906,-39.0283295
45655728,-14.8412186,-39.0288182
45655738,-14.841768,-39.0283295
45655740,-14.8420558,-39.02820740000001
45655742,-14.8418334,-39.0280037
45655748,-14.8454834,-39.0255602
45655750,-14.8451694,-39.0263748
45655752,-14.8451891,-39.0270264
45655754,-14.8452087,-39.027678
45655764,-14.8444041,-39.0271893
45655767,-14.8461131,-39.0278175
45655768,-14.8484664,-39.0271893
