preco;quartos;banheiros;vagas garagem;rua/avenida;custo condominio;iptu;bairro;cidade;estado;cep;armários na cozinha;academia;piscina;varanda;portaria;quarto de serviço;área de serviço;condomínio fechado;permitido animais;churrasqueira;elevador;mobiliado;armários no quarto;ar condicionado;segurança 24h;salão de festas;area util por m²
3600000.0;1;1;1;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;45.0
15000000.0;3;2;2;Conjunto Sítio São Paulo;-1;-1;São Francisco;Ilhéus;BA;45655150;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;125.0
6800000.0;3;2;2;Rua Aracuã;-1;-1;Nossa Senhora da Vitória;Ilhéus;BA;45655712;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;200.0
4200000.0;2;3;2;Nossa Senhora da Vitória;350.0;678.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;70.0
8500000.0;2;2;1;Rua dos Canários;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120.0
6600000.0;2;2;1;Rua Ouro Branco;0.0;0.0;São Francisco;Ilhéus;BA;45655112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120.0
5110000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;69.0
2670000.0;1;1;1;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;42.0
5500000.0;3;2;1;Rua Joaquim de Góes;500.0;-1;Jardim Atlântico;Ilhéus;BA;45655040;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;1;85.0
5500000.0;2;1;0;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654001;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;76.0
3500000.0;3;2;2;Rua Graviola;-1;-1;Nossa Senhora da Vitória;Ilhéus;BA;45655500;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;101.0
7000000.0;3;1;0;Avenida Osvaldo Cruz;0.0;0.0;Cidade Nova;Ilhéus;BA;45652130;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;86.0
8300000.0;3;1;2;Rua Lauro Farani de Freitas;0.0;0.0;Cidade Nova;Ilhéus;BA;45652160;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;130.0
12000000.0;2;3;2;Rua dos Canários;580.0;-1;Nossa Senhora da Vitória;Ilhéus;BA;45655748;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;99.0
7500000.0;3;1;1;Rua José Reinaldo Batista dos Santos;450.0;0.0;Ilhéus II;Ilhéus;BA;45655246;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;91.0
6200000.0;3;2;1;Rua José Reinaldo Batista dos Santos;450.0;0.0;Ilhéus II;Ilhéus;BA;45655246;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;82.0
